PassengerId,Survived
892,0
893,0
894,0
895,1
896,1
897,1
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,1
916,1
917,0
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,0
929,0
930,1
931,1
932,0
933,0
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,1
954,1
955,0
956,0
957,1
958,0
959,1
960,1
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,0
980,1
981,0
982,0
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,0
994,0
995,1
996,0
997,1
998,0
999,0
1000,1
1001,1
1002,0
1003,0
1004,1
1005,0
1006,1
1007,0
1008,0
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,1
1056,1
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,0
1095,0
1096,1
1097,1
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,0
1116,1
1117,1
1118,0
1119,0
1120,1
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,1
1138,1
1139,1
1140,1
1141,0
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,0
1167,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,1
1185,0
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,0
1199,0
1200,1
1201,0
1202,0
1203,1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,0
1215,1
1216,1
1217,1
1218,0
1219,1
1220,1
1221,1
1222,0
1223,1
1224,0
1225,1
1226,0
1227,1
1228,1
1229,0
1230,1
1231,0
1232,0
1233,1
1234,0
1235,1
1236,0
1237,0
1238,0
1239,0
1240,0
1241,1
1242,1
1243,0
1244,1
1245,0
1246,0
1247,1
1248,1
1249,1
1250,1
1251,0
1252,0
1253,1
1254,0
1255,1
1256,1
1257,0
1258,1
1259,0
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,1
1267,1
1268,0
1269,0
1270,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,1
1279,1
1280,1
1281,0
1282,1
1283,1
1284,0
1285,1
1286,0
1287,1
1288,1
1289,1
1290,1
1291,0
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,0
1301,0
1302,0
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,1
